num,No-PS,PS,MV
1,102.95,152.711585,107.41
2,211.43,312.04518,219.14
3,307.33,313.15518,321.4
4,401.05,450.527695,420.53
5,494.01,452.137695,516.63
6,571.33,454.477695,594.55
7,666.6,455.597695,689.32
8,739.84,544.553702,762.14
9,847.51,706.722748,871.05
10,951.76,861.023894,976.56
11,1020.17,861.033894,1046.19
12,1118.71,1008.436189,1150.05
13,1216.08,1010.276189,1251.6
14,1281.3,1087.526404,1317.39
15,1366.58,1088.626404,1404.74
16,1463.96,1090.106404,1506.29
17,1550.94,1092.696404,1593.16
18,1653.45,1246.006288,1697.39
19,1738.99,1248.746288,1785.85
20,1839.87,1397.619918,1890.64
21,1937.17,1399.059918,1991.0
22,2038.19,1550.38443,2094.38
23,2149.73,1721.454326,2210.04
24,2250.14,1863.319583,2312.88
25,2334.29,1864.979583,2398.34
26,2441.08,1866.869583,2507.1
27,2547.35,1868.099583,2615.12
28,2588.82,1868.109583,2656.58
29,2670.57,1869.379583,2738.61
30,2761.63,1871.339583,2830.52
31,2861.78,1872.419583,2932.28
32,2952.59,1873.629583,3023.21
33,3016.26,1873.639583,3086.46
34,3091.93,1968.455667,3161.74
35,3153.06,1968.465667,3223.73
36,3253.95,1969.545667,3325.18
37,3351.36,1971.405667,3428.61
38,3451.17,1973.255667,3530.02
39,3547.15,1975.385667,3626.43
40,3635.36,2089.859976,3715.61
41,3735.97,2091.019976,3819.61
42,3834.64,2091.849976,3918.66
43,3924.6,2093.099976,4009.33
44,4027.82,2094.349976,4118.01
45,4134.69,2253.385251,4230.06
46,4238.79,2411.750549,4338.14
47,4338.55,2413.360549,4441.13
48,4440.28,2415.130549,4545.13
49,4528.05,2417.100549,4633.13
50,4640.08,2591.32102,4746.17
51,4741.33,2592.76102,4851.56
52,4844.31,2593.92102,4956.15
53,4945.43,2738.419838,5057.58
54,5024.46,2739.349838,5137.89
55,5106.27,2740.169838,5219.93
56,5194.2,2741.899838,5307.93
57,5277.15,2743.189838,5391.06
58,5371.56,2744.899838,5487.05
59,5456.21,2746.529838,5572.19
60,5543.57,2747.969838,5660.88
61,5645.91,2749.419838,5768.12
62,5746.96,2895.4919,5870.08
63,5847.7,2896.6419,5973.81
64,5945.49,2898.6219,6071.33
65,6041.29,2900.6819,6166.79
66,6133.94,2902.5419,6259.32
67,6237.64,2903.6119,6364.2
68,6338.8,2905.3819,6471.48
69,6444.61,2907.2619,6579.06
70,6536.86,2908.9619,6670.96
71,6629.64,2910.7319,6763.63
72,6667.24,2910.7419,6801.27
73,6749.25,2912.0219,6884.49
74,6853.31,2913.1219,6994.62
75,6934.36,2913.9319,7075.77
76,7025.48,2915.5519,7167.21
77,7117.31,2917.1919,7260.74
78,7215.68,2918.2519,7363.77
79,7313.0,2920.0819,7462.35
80,7420.72,2921.3319,7574.15
81,7514.19,2922.9519,7668.05
82,7616.42,2924.1119,7774.48
83,7712.13,2926.0519,7870.14
84,7791.15,2927.2519,7950.07
85,7840.64,3110.222409,8069.05
86,7931.6,3111.942409,8162.31
87,8036.44,3113.182409,8271.29
88,8136.94,3114.062409,8373.0
89,8244.12,3115.282409,8483.14
90,8298.06,3115.292409,8536.88
91,8395.26,3116.102409,8636.37
92,8470.58,3116.782409,8711.15
93,8582.0,3119.322409,8824.43
94,8673.28,3121.282409,8916.57
95,8773.7,3122.392409,9022.03
96,8871.31,3124.322409,9120.32
97,8974.33,3125.782409,9224.2
98,9074.83,3126.862409,9324.65
99,9178.0,3128.052409,9432.63
100,9277.17,3129.122409,9533.37
101,9365.61,3130.112409,9621.41
102,9451.56,3131.102409,9707.83
103,9528.69,3131.812409,9784.31
104,9612.62,3133.172409,9868.31
105,9703.73,3135.172409,9960.01
106,9797.85,3136.542409,10055.38
107,9890.02,3138.182409,10151.89
108,9992.36,3139.962409,10259.77
109,10101.73,3141.892409,10375.0
110,10187.74,3143.012409,10461.38
111,10236.31,3145.652409,10578.99
112,10334.38,3146.672409,10680.4
113,10421.79,3147.602409,10767.5
114,10486.83,3147.612409,10832.6
115,10579.24,3149.292409,10926.39
116,10686.66,3151.172409,11035.74
117,10780.74,3153.022409,11129.72
118,10884.63,3154.722409,11235.52
119,10954.87,3154.732409,11305.84
120,11062.78,3157.242409,11414.83
121,11152.02,3158.742409,11503.9
122,11251.49,3159.842409,11605.02
123,11336.0,3160.672409,11689.59
124,11404.26,3160.682409,11757.7
125,11499.9,3161.702409,11854.36
126,11613.51,3334.950873,11969.56
127,11700.35,3336.340873,12056.16
128,11805.07,3337.560873,12162.06
129,11897.45,3338.930873,12256.34
130,11975.74,3339.840873,12334.3
131,12061.68,3340.820873,12420.1
132,12160.12,3341.670873,12519.54
133,12214.52,3341.680873,12574.37
134,12311.09,3343.500873,12671.26
135,12410.28,3344.570873,12775.06
136,12505.58,3346.270873,12870.64
137,12585.8,3347.200873,12950.69
138,12686.88,3348.240873,13057.26
139,12782.45,3350.190873,13153.87
140,12890.55,3352.100873,13265.33
141,12996.89,3353.310873,13371.85
142,13095.98,3354.370873,13476.15
143,13179.83,3355.330873,13559.53
144,13274.94,3356.730873,13656.16
145,13366.26,3358.550873,13747.87
146,13469.49,3360.400873,13857.09
147,13575.73,3361.870873,13966.68
148,13680.78,3363.390873,14072.98
149,13769.62,3364.820873,14160.73
150,13865.14,3366.550873,14256.55
151,13967.94,3368.190873,14360.37
152,14066.02,3370.310873,14463.32
153,14151.02,3371.280873,14548.28
154,14246.72,3373.030873,14644.4
155,14342.66,3374.990873,14740.92
156,14434.02,3376.760873,14832.75
157,14524.46,3378.360873,14923.71
158,14601.85,3379.270873,15001.11
159,14699.64,3380.320873,15100.9
160,14791.86,3382.050873,15192.24
161,14866.06,3382.060873,15266.78
162,14965.9,3382.920873,15367.77
163,15054.14,3384.800873,15456.92
164,15159.25,3385.990873,15567.23
165,15262.43,3387.470873,15671.42
166,15325.96,3387.480873,15734.57
167,15409.11,3388.430873,15817.73
168,15499.95,3390.070873,15909.47
169,15596.74,3391.070873,16007.55
170,15675.33,3391.940873,16086.32
171,15768.75,3393.610873,16180.93
172,15877.71,3396.030873,16294.72
173,15953.17,3396.890873,16370.24
174,16049.2,3398.890873,16465.79
175,16145.02,3399.860873,16566.65
176,16245.89,3400.940873,16672.88
177,16345.72,3402.010873,16773.86
178,16444.96,3403.830873,16878.32
179,16548.44,3404.990873,16984.47
180,16637.87,3406.540873,17074.05
181,16732.56,3408.210873,17169.06
182,16835.51,3409.440873,17275.64
183,16938.34,3411.260873,17379.93
184,17035.89,3412.270873,17482.42
185,17124.72,3413.750873,17571.96
186,17209.9,3415.100873,17657.27
187,17308.06,3416.120873,17757.08
188,17401.83,3417.980873,17852.24
189,17493.72,3419.560873,17944.87
190,17590.62,3421.540873,18041.81
191,17633.49,3421.550873,18084.65
192,17729.02,3423.640873,18179.13
193,17819.79,3425.290873,18270.65
194,17917.2,3427.140873,18367.75
195,18020.99,3428.320873,18476.69
196,18119.08,3429.400873,18579.78
197,18207.75,3430.850873,18669.66
198,18286.77,3432.050873,18749.67
199,18382.28,3433.910873,18846.45
200,18488.51,3435.860873,18954.42